C:\Users\tomge\PycharmProjects\bet538\venv\Scripts\python.exe C:/Users/tomge/PycharmProjects/bet538/main.py

Successfully got 35 sports Here's the first sport:
{'key': 'americanfootball_nfl', 'active': True, 'group': 'American Football', 'details': 'US Football', 'title': 'NFL', 'has_outrights': False}

Successfully got 19 events Here's the first event:

Remaining requests 363
Used requests 137
[('Ceará', 'Bragantino-SP'), 'marathonbet', -100.0, 1, 0, 2.53]
[('Ceará', 'Bragantino-SP'), 'marathonbet', -100.0, 2, 0, 2.88]

Successfully got 35 sports Here's the first sport:
{'key': 'americanfootball_nfl', 'active': True, 'group': 'American Football', 'details': 'US Football', 'title': 'NFL', 'has_outrights': False}

Successfully got 10 events Here's the first event:

Remaining requests 360
Used requests 140
[('Vejle Boldklub', 'AGF Aarhus'), 'paddypower', -100.0, 0, 0, 3.6]
[('Vejle Boldklub', 'AGF Aarhus'), 'paddypower', -100.0, 1, 0, 3.75]
[('Vejle Boldklub', 'AGF Aarhus'), 'paddypower', -100.0, 2, 0, 1.73]
[('Vejle Boldklub', 'AGF Aarhus'), 'onexbet', -100.0, 0, 0, 3.82]
[('Vejle Boldklub', 'AGF Aarhus'), 'onexbet', -100.0, 1, 0, 4.0]
[('Vejle Boldklub', 'AGF Aarhus'), 'onexbet', -100.0, 2, 0, 1.87]
[('Vejle Boldklub', 'AGF Aarhus'), 'betfair', -100.0, 0, 0, 3.5]
[('Vejle Boldklub', 'AGF Aarhus'), 'betfair', -100.0, 1, 0, 1.28]
[('Vejle Boldklub', 'AGF Aarhus'), 'betfair', -100.0, 2, 0, 1.75]
[('Vejle Boldklub', 'AGF Aarhus'), 'betway', -100.0, 0, 0, 3.6]
[('Vejle Boldklub', 'AGF Aarhus'), 'betway', -100.0, 1, 0, 4.0]
[('Vejle Boldklub', 'AGF Aarhus'), 'betway', -100.0, 2, 0, 1.83]
[('Vejle Boldklub', 'AGF Aarhus'), 'betclic', -100.0, 0, 0, 3.75]
[('Vejle Boldklub', 'AGF Aarhus'), 'betclic', -100.0, 1, 0, 4.13]
[('Vejle Boldklub', 'AGF Aarhus'), 'betclic', -100.0, 2, 0, 1.85]
[('FC Midtjylland', 'SonderjyskE'), 'unibet', -100.0, 0, 0, 4.1]
[('FC Midtjylland', 'SonderjyskE'), 'unibet', -100.0, 1, 0, 1.44]
[('FC Midtjylland', 'SonderjyskE'), 'unibet', -100.0, 2, 0, 7.5]
[('FC Midtjylland', 'SonderjyskE'), 'sport888', -100.0, 0, 0, 4.0]
[('FC Midtjylland', 'SonderjyskE'), 'sport888', -100.0, 1, 0, 1.4]
[('FC Midtjylland', 'SonderjyskE'), 'sport888', -100.0, 2, 0, 7.5]
[('FC Nordsjaelland', 'Brondby IF'), 'unibet', -100.0, 0, 0, 3.6]
[('FC Nordsjaelland', 'Brondby IF'), 'unibet', -100.0, 1, 0, 2.95]
[('FC Nordsjaelland', 'Brondby IF'), 'unibet', -100.0, 2, 0, 2.18]
[('FC Nordsjaelland', 'Brondby IF'), 'sport888', -100.0, 0, 0, 3.55]
[('FC Nordsjaelland', 'Brondby IF'), 'sport888', -100.0, 1, 0, 2.88]
[('FC Nordsjaelland', 'Brondby IF'), 'sport888', -100.0, 2, 0, 2.14]
[('Vejle Boldklub', 'AGF Aarhus'), 'unibet', -100.0, 0, 0, 3.5]
[('Vejle Boldklub', 'AGF Aarhus'), 'unibet', -100.0, 1, 0, 4.0]
[('Vejle Boldklub', 'AGF Aarhus'), 'unibet', -100.0, 2, 0, 1.84]
[('Vejle Boldklub', 'AGF Aarhus'), 'sport888', -100.0, 0, 0, 3.45]
[('Vejle Boldklub', 'AGF Aarhus'), 'sport888', -100.0, 1, 0, 3.95]
[('Vejle Boldklub', 'AGF Aarhus'), 'sport888', -100.0, 2, 0, 1.81]
[('OB Odense BK', 'Lyngby'), 'unibet', -100.0, 0, 0, 3.85]
[('OB Odense BK', 'Lyngby'), 'unibet', -100.0, 1, 0, 1.53]
[('OB Odense BK', 'Lyngby'), 'unibet', -100.0, 2, 0, 6.1]
[('OB Odense BK', 'Lyngby'), 'sport888', -100.0, 0, 0, 3.75]
[('OB Odense BK', 'Lyngby'), 'sport888', -100.0, 1, 0, 1.5]
[('OB Odense BK', 'Lyngby'), 'sport888', -100.0, 2, 0, 6.0]
[('OB Odense BK', 'Lyngby'), 'betclic', -100.0, 0, 0, 4.35]
[('OB Odense BK', 'Lyngby'), 'betclic', -100.0, 1, 0, 1.53]
[('OB Odense BK', 'Lyngby'), 'betclic', -100.0, 2, 0, 6.05]
[('OB Odense BK', 'Lyngby'), 'paddypower', -100.0, 0, 0, 4.2]
[('OB Odense BK', 'Lyngby'), 'paddypower', -100.0, 1, 0, 1.44]
[('OB Odense BK', 'Lyngby'), 'paddypower', -100.0, 2, 0, 5.5]
[('OB Odense BK', 'Lyngby'), 'onexbet', -100.0, 0, 0, 4.3]
[('OB Odense BK', 'Lyngby'), 'onexbet', -100.0, 1, 0, 1.58]
[('OB Odense BK', 'Lyngby'), 'onexbet', -100.0, 2, 0, 5.55]
[('OB Odense BK', 'Lyngby'), 'betfair', -100.0, 0, 0, 3.5]
[('OB Odense BK', 'Lyngby'), 'betfair', -100.0, 1, 0, 1.48]
[('OB Odense BK', 'Lyngby'), 'betfair', -100.0, 2, 0, 1.24]
[('OB Odense BK', 'Lyngby'), 'betway', -100.0, 0, 0, 4.2]
[('OB Odense BK', 'Lyngby'), 'betway', -100.0, 1, 0, 1.53]
[('OB Odense BK', 'Lyngby'), 'betway', -100.0, 2, 0, 5.5]
[('FC Midtjylland', 'SonderjyskE'), 'paddypower', -100.0, 0, 0, 4.33]
[('FC Midtjylland', 'SonderjyskE'), 'paddypower', -100.0, 1, 0, 1.36]
[('FC Midtjylland', 'SonderjyskE'), 'paddypower', -100.0, 2, 0, 7.0]
[('FC Midtjylland', 'SonderjyskE'), 'onexbet', -100.0, 0, 0, 4.6]
[('FC Midtjylland', 'SonderjyskE'), 'onexbet', -100.0, 1, 0, 1.47]
[('FC Midtjylland', 'SonderjyskE'), 'onexbet', -100.0, 2, 0, 6.7]
[('FC Midtjylland', 'SonderjyskE'), 'betclic', -100.0, 0, 0, 4.72]
[('FC Midtjylland', 'SonderjyskE'), 'betclic', -100.0, 1, 0, 1.42]
[('FC Midtjylland', 'SonderjyskE'), 'betclic', -100.0, 2, 0, 7.45]
